iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
ABW,North America,Aruba,2020-10-01,3963.0,29.0,34.571,27.0,1.0,0.28600000000000003,37118.558,271.622,323.806,252.889,9.366,2.676,,,,,,,,,,50.46,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,,11.62,,,,,76.29,
AFG,Asia,Afghanistan,2020-10-01,39268.0,14.0,14.0,1458.0,0.0,1.0,1008.725,0.36,0.36,37.453,0.0,0.026000000000000002,,,,,,,,,,28.7,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AGO,Africa,Angola,2020-10-01,4972.0,67.0,105.14299999999999,182.0,3.0,3.8569999999999998,151.28,2.039,3.199,5.537999999999999,0.091,0.11699999999999999,,,,,,,,,,75.0,32866268.0,23.89,16.8,2.405,1.3619999999999999,5819.495,,276.045,3.94,,,26.664,,61.15,0.581
AIA,North America,Anguilla,2020-10-01,3.0,0.0,0.0,,0.0,0.0,199.97299999999998,0.0,0.0,,0.0,0.0,,,,,,,,,,,15002.0,,,,,,,,,,,,,81.88,
ALB,Europe,Albania,2020-10-01,13649.0,131.0,123.14299999999999,387.0,3.0,2.4290000000000003,4742.859,45.521,42.791000000000004,134.47799999999998,1.042,0.8440000000000001,,,,,,,,,,43.52,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.785
AND,Europe,Andorra,2020-10-01,2050.0,84.0,42.428999999999995,53.0,0.0,0.0,26532.065,1087.1680000000001,549.131,685.951,0.0,0.0,,,,,,,,,,50.0,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.858
ARE,Asia,United Arab Emirates,2020-10-01,94190.0,1100.0,951.429,419.0,3.0,1.857,9523.376,111.219,96.197,42.364,0.303,0.188,9795960.0,91234.0,990.451,9.225,95487.0,9.655,100.362,0.01,tests performed,52.78,9890400.0,112.44200000000001,34.0,1.1440000000000001,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.863
ARG,South America,Argentina,2020-10-01,750988.0,14392.0,12312.714,16937.0,418.0,365.85699999999997,16616.331000000002,318.437,272.431,374.74699999999996,9.249,8.095,,,,,,,,,,87.96,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.825
ARM,Asia,Armenia,2020-10-01,50359.0,458.0,354.57099999999997,959.0,1.0,2.4290000000000003,16994.608,154.561,119.65700000000001,323.633,0.337,0.82,,,,,,,,,,,2963234.0,102.931,35.7,11.232000000000001,7.571000000000001,8787.58,1.8,341.01,7.11,1.5,52.1,94.04299999999999,4.2,75.09,0.755
ATG,North America,Antigua and Barbuda,2020-10-01,101.0,0.0,0.5710000000000001,3.0,0.0,0.0,1031.37,0.0,5.835,30.635,0.0,0.0,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
AUS,Oceania,Australia,2020-10-01,27063.0,0.0,12.857000000000001,882.0,0.0,3.286,1061.299,0.0,0.504,34.588,0.0,0.129,7679651.0,42248.0,301.164,1.6569999999999998,34046.0,1.335,2648.022,0.0,tests performed,68.06,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.9390000000000001
AUT,Europe,Austria,2020-10-01,45753.0,1146.0,742.143,799.0,3.0,3.1430000000000002,5080.054,127.243,82.402,88.715,0.33299999999999996,0.349,1636573.0,18586.0,181.71200000000002,2.064,18399.0,2.043,24.792,0.04,tests performed,40.74,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.9079999999999999
AZE,Asia,Azerbaijan,2020-10-01,40229.0,110.0,100.714,591.0,1.0,1.571,3967.68,10.849,9.933,58.288999999999994,0.099,0.155,,,,,,,,,,68.98,10139175.0,119.309,32.4,6.018,3.8710000000000004,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.757
BDI,Africa,Burundi,2020-10-01,508.0,2.0,4.571000000000001,1.0,0.0,0.0,42.722,0.168,0.384,0.084,0.0,0.0,,,,,,,,,,11.11,11890781.0,423.06199999999995,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.41700000000000004
BEL,Europe,Belgium,2020-10-01,125581.0,3239.0,1984.714,10021.0,6.0,7.857,10835.648000000001,279.474,171.24900000000002,864.653,0.518,0.6779999999999999,3337117.0,41606.0,287.94,3.59,36566.0,3.155,18.424,0.054000000000000006,tests performed,45.37,11589616.0,375.564,41.8,18.570999999999998,12.849,42658.575999999994,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.9159999999999999
BEN,Africa,Benin,2020-10-01,2357.0,17.0,4.571000000000001,41.0,1.0,0.14300000000000002,194.421,1.402,0.377,3.3819999999999997,0.08199999999999999,0.012,,,,,,,,,,47.22,12123198.0,99.11,18.8,3.2439999999999998,1.942,2064.236,49.6,235.84799999999998,0.99,0.6,12.3,11.035,0.5,61.77,0.515
BES,North America,Bonaire Sint Eustatius and Saba,2020-10-01,106.0,0.0,5.2860000000000005,1.0,0.0,0.0,4042.5609999999997,0.0,201.583,38.137,0.0,0.0,,,,,,,,,,,26221.0,,,,,,,,,,,,,77.79,
BFA,Africa,Burkina Faso,2020-10-01,2056.0,24.0,18.143,58.0,0.0,0.28600000000000003,98.35799999999999,1.148,0.868,2.775,0.0,0.013999999999999999,,,,,,,,,,36.11,20903278.0,70.15100000000001,17.6,2.4090000000000003,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.423
BGD,Asia,Bangladesh,2020-10-01,363479.0,1436.0,1376.4289999999999,5251.0,32.0,29.570999999999998,2207.058,8.719,8.357999999999999,31.884,0.19399999999999998,0.18,1962038.0,11420.0,11.914000000000001,0.069,11934.0,0.07200000000000001,8.67,0.115,tests performed,80.09,164689383.0,1265.036,27.5,5.098,3.262,3523.9840000000004,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.608
BGR,Europe,Bulgaria,2020-10-01,20833.0,286.0,221.429,825.0,11.0,6.571000000000001,2998.225,41.16,31.866999999999997,118.73200000000001,1.5830000000000002,0.946,529292.0,4943.0,76.17399999999999,0.711,3120.0,0.449,14.09,0.071,tests performed,35.19,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.68800000000005,5.81,30.1,44.4,,7.454,75.05,0.813
BHR,Asia,Bahrain,2020-10-01,70864.0,442.0,637.429,252.0,6.0,3.0,41645.926,259.758,374.60900000000004,148.097,3.5260000000000002,1.7630000000000001,1439332.0,9900.0,845.878,5.818,8747.0,5.141,13.722,0.073,units unclear,63.89,1701583.0,1935.9070000000002,32.4,2.372,1.3869999999999998,43290.705,,151.689,16.52,5.8,37.6,,2.0,77.29,0.846
BHS,North America,Bahamas,2020-10-01,4123.0,220.0,72.143,96.0,5.0,2.286,10484.478000000001,559.443,183.454,244.12099999999998,12.715,5.812,,,,,,,,,,,393248.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.807
BIH,Europe,Bosnia and Herzegovina,2020-10-01,27465.0,243.0,197.71400000000003,849.0,13.0,8.429,8371.396,74.067,60.263999999999996,258.777,3.9619999999999997,2.569,,,,,,,,,,40.74,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.768
BLR,Europe,Belarus,2020-10-01,78631.0,371.0,324.857,833.0,5.0,5.2860000000000005,8321.339,39.262,34.379,88.154,0.529,0.5589999999999999,,,,,,,,,,11.11,9449321.0,46.858000000000004,40.3,14.799000000000001,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.8079999999999999
BLZ,North America,Belize,2020-10-01,1992.0,49.0,40.857,27.0,1.0,0.7140000000000001,5009.795999999999,123.23299999999999,102.75399999999999,67.904,2.515,1.796,,,,,,,,,,69.44,397621.0,16.426,25.0,3.853,2.279,7824.361999999999,,176.957,17.11,,,90.083,1.3,74.62,0.708
BMU,North America,Bermuda,2020-10-01,181.0,0.0,0.0,9.0,0.0,0.0,2906.5570000000002,0.0,0.0,144.525,0.0,0.0,,,,,,,,,,31.48,62273.0,1308.82,,,,50669.315,,139.547,13.0,,,,,82.59,
BOL,South America,Bolivia,2020-10-01,135311.0,670.0,474.42900000000003,7965.0,34.0,33.429,11591.764,57.397,40.643,682.342,2.9130000000000003,2.864,300409.0,1412.0,25.735,0.121,1344.0,0.115,2.833,0.353,tests performed,81.48,11673029.0,10.202,25.4,6.704,4.393,6885.829000000001,7.1,204.299,6.89,,,25.383000000000003,1.1,71.51,0.693
