location,total_cases_per_million,total_deaths_per_million,total_tests_per_thousand,tests_per_case,positive_rate,stringency_index,population,population_density,median_age,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Aruba,37118.558,252.889,,,,50.46,106766.0,584.8,41.2,7.452000000000001,35973.781,,,11.62,,,,,76.29,
Afghanistan,1008.725,37.453,,,,28.7,38928341.0,54.422,18.6,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
Angola,151.28,5.537999999999999,,,,75.0,32866268.0,23.89,16.8,1.3619999999999999,5819.495,,276.045,3.94,,,26.664,,61.15,0.581
Anguilla,199.97299999999998,,,,,,15002.0,,,,,,,,,,,,81.88,
Albania,4742.859,134.47799999999998,,,,43.52,2877800.0,104.87100000000001,38.0,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.785
Andorra,26532.065,685.951,,,,50.0,77265.0,163.755,,,,,109.135,7.97,29.0,37.8,,,83.73,0.858
United Arab Emirates,9523.376,42.364,990.451,100.362,0.01,52.78,9890400.0,112.44200000000001,34.0,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.863
Argentina,16616.331000000002,374.74699999999996,,,,87.96,45195777.0,16.177,31.9,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.825
Armenia,16994.608,323.633,,,,,2963234.0,102.931,35.7,7.571000000000001,8787.58,1.8,341.01,7.11,1.5,52.1,94.04299999999999,4.2,75.09,0.755
Antigua and Barbuda,1031.37,30.635,,,,,97928.0,231.845,32.1,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
Australia,1061.299,34.588,301.164,2648.022,0.0,68.06,25499881.0,3.202,37.9,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.9390000000000001
